Temperature,L,R,A_M,Color,Spectral_Class,Type
3068.00,0.00,0.17,16.12,Red,M,0.00
3042.00,0.00,0.15,16.60,Red,M,0.00
2600.00,0.00,0.10,18.70,Red,M,0.00
2800.00,0.00,0.16,16.65,Red,M,0.00
1939.00,0.00,0.10,20.06,Red,M,0.00
2840.00,0.00,0.11,16.98,Red,M,0.00
2637.00,0.00,0.13,17.22,Red,M,0.00
2600.00,0.00,0.10,17.40,Red,M,0.00
2650.00,0.00,0.11,17.45,Red,M,0.00
2700.00,0.00,0.13,16.05,Red,M,0.00
3600.00,0.00,0.51,10.69,Red,M,1.00
3129.00,0.01,0.38,11.79,Red,M,1.00
3134.00,0.00,0.20,13.21,Red,M,1.00
3628.00,0.01,0.39,10.48,Red,M,1.00
2650.00,0.00,0.14,11.78,Red,M,1.00
3340.00,0.00,0.24,13.07,Red,M,1.00
2799.00,0.00,0.16,14.79,Red,M,1.00
3692.00,0.00,0.47,10.80,Red,M,1.00
3192.00,0.00,0.20,13.53,Red,M,1.00
3441.00,0.04,0.35,11.18,Red,M,1.00
25000.00,0.06,0.01,10.58,Blue White,B,2.00
7740.00,0.00,0.01,14.02,White,A,2.00
7220.00,0.00,0.01,14.23,White,F,2.00
8500.00,0.00,0.01,14.50,White,A,2.00
16500.00,0.01,0.01,11.89,Blue White,B,2.00
12990.00,0.00,0.01,12.23,Yellowish White,F,2.00
8570.00,0.00,0.01,14.20,Blue white,A,2.00
7700.00,0.00,0.01,14.47,Yellowish White,F,2.00
11790.00,0.00,0.01,12.59,Yellowish White,F,2.00
7230.00,0.00,0.01,14.08,Pale yellow orange,F,2.00
39000.00,204000.00,10.60,-4.70,Blue,O,3.00
30000.00,28840.00,6.30,-4.20,Blue-white,B,3.00
15276.00,1136.00,7.20,-1.97,Blue-white,B,3.00
9700.00,74.00,2.89,0.16,Whitish,B,3.00
5800.00,0.81,0.90,5.05,yellow-white,F,3.00
8052.00,8.70,1.80,2.42,Whitish,A,3.00
6757.00,1.43,1.12,2.41,yellow-white,F,3.00
6380.00,1.35,0.98,2.93,yellow-white,F,3.00
5936.00,1.36,1.11,4.46,yellow-white,F,3.00
5587.00,0.82,0.99,5.03,yellow-white,F,3.00
3826.00,200000.00,19.00,-6.93,Red,M,4.00
3365.00,340000.00,23.00,-6.20,Red,M,4.00
3270.00,150000.00,88.00,-6.02,Red,M,4.00
3200.00,195000.00,17.00,-7.22,Red,M,4.00
3008.00,280000.00,25.00,-6.00,Red,M,4.00
3600.00,320000.00,29.00,-6.60,Red,M,4.00
3575.00,123000.00,45.00,-6.78,Red,M,4.00
3574.00,200000.00,89.00,-5.24,Red,M,4.00
3625.00,184000.00,84.00,-6.74,Red,M,4.00
33750.00,220000.00,26.00,-6.10,Blue,B,4.00
3490.00,270000.00,1520.00,-9.40,Red,M,5.00
3750.00,283000.00,1260.00,-7.63,Red,M,5.00
3834.00,272000.00,1183.00,-9.20,Red,M,5.00
3749.00,550000.00,1648.00,-8.05,Orange,M,5.00
3650.00,310000.00,1324.00,-7.79,Red,M,5.00
3450.00,263000.00,1349.00,-11.75,Red,M,5.00
3660.00,363000.00,1673.00,-11.92,Red,M,5.00
3450.00,174000.00,1284.00,-11.28,Red,M,5.00
3752.00,209000.00,955.00,-11.24,Red,M,5.00
3535.00,195000.00,1546.00,-11.36,Red,M,5.00
3341.00,0.01,0.06,16.23,Red,M,0.00
